,Country,ISO3 Code,Date,Price (EUR/MWhe),date,day,month,year
134,Belgium,BEL,2016-12-01,54.92,2016-12-01,1,12,2016
135,Belgium,BEL,2017-01-01,72.66,2017-01-01,1,1,2017
136,Belgium,BEL,2017-02-01,47.55,2017-02-01,1,2,2017
137,Belgium,BEL,2017-03-01,34.47,2017-03-01,1,3,2017
138,Belgium,BEL,2017-04-01,37.32,2017-04-01,1,4,2017
139,Belgium,BEL,2017-05-01,37.2,2017-05-01,1,5,2017
140,Belgium,BEL,2017-06-01,32.72,2017-06-01,1,6,2017
141,Belgium,BEL,2017-07-01,33.55,2017-07-01,1,7,2017
142,Belgium,BEL,2017-08-01,31.79,2017-08-01,1,8,2017
143,Belgium,BEL,2017-09-01,37.2,2017-09-01,1,9,2017
144,Belgium,BEL,2017-10-01,49.01,2017-10-01,1,10,2017
145,Belgium,BEL,2017-11-01,66.63,2017-11-01,1,11,2017
146,Belgium,BEL,2017-12-01,55.02,2017-12-01,1,12,2017
147,Belgium,BEL,2018-01-01,36.81,2018-01-01,1,1,2018
148,Belgium,BEL,2018-02-01,47.39,2018-02-01,1,2,2018
149,Belgium,BEL,2018-03-01,50.7,2018-03-01,1,3,2018
150,Belgium,BEL,2018-04-01,37.74,2018-04-01,1,4,2018
151,Belgium,BEL,2018-05-01,44.56,2018-05-01,1,5,2018
152,Belgium,BEL,2018-06-01,49.93,2018-06-01,1,6,2018
153,Belgium,BEL,2018-07-01,52.96,2018-07-01,1,7,2018
154,Belgium,BEL,2018-08-01,60.74,2018-08-01,1,8,2018
155,Belgium,BEL,2018-09-01,68.72,2018-09-01,1,9,2018
156,Belgium,BEL,2018-10-01,76.05,2018-10-01,1,10,2018
157,Belgium,BEL,2018-11-01,77.73,2018-11-01,1,11,2018
158,Belgium,BEL,2018-12-01,59.66,2018-12-01,1,12,2018
159,Belgium,BEL,2019-01-01,60.48,2019-01-01,1,1,2019
160,Belgium,BEL,2019-02-01,47.57,2019-02-01,1,2,2019
161,Belgium,BEL,2019-03-01,37.61,2019-03-01,1,3,2019
162,Belgium,BEL,2019-04-01,37.92,2019-04-01,1,4,2019
163,Belgium,BEL,2019-05-01,38.0,2019-05-01,1,5,2019
164,Belgium,BEL,2019-06-01,27.49,2019-06-01,1,6,2019
165,Belgium,BEL,2019-07-01,37.76,2019-07-01,1,7,2019
166,Belgium,BEL,2019-08-01,33.69,2019-08-01,1,8,2019
167,Belgium,BEL,2019-09-01,33.58,2019-09-01,1,9,2019
168,Belgium,BEL,2019-10-01,37.62,2019-10-01,1,10,2019
169,Belgium,BEL,2019-11-01,44.41,2019-11-01,1,11,2019
170,Belgium,BEL,2019-12-01,36.36,2019-12-01,1,12,2019
171,Belgium,BEL,2020-01-01,37.85,2020-01-01,1,1,2020
172,Belgium,BEL,2020-02-01,28.36,2020-02-01,1,2,2020
173,Belgium,BEL,2020-03-01,24.02,2020-03-01,1,3,2020
174,Belgium,BEL,2020-04-01,14.68,2020-04-01,1,4,2020
175,Belgium,BEL,2020-05-01,15.41,2020-05-01,1,5,2020
176,Belgium,BEL,2020-06-01,25.59,2020-06-01,1,6,2020
177,Belgium,BEL,2020-07-01,29.87,2020-07-01,1,7,2020
178,Belgium,BEL,2020-08-01,35.55,2020-08-01,1,8,2020
179,Belgium,BEL,2020-09-01,44.23,2020-09-01,1,9,2020
180,Belgium,BEL,2020-10-01,39.38,2020-10-01,1,10,2020
181,Belgium,BEL,2020-11-01,39.93,2020-11-01,1,11,2020
182,Belgium,BEL,2020-12-01,47.4,2020-12-01,1,12,2020
183,Belgium,BEL,2021-01-01,57.44,2021-01-01,1,1,2021
184,Belgium,BEL,2021-02-01,48.57,2021-02-01,1,2,2021
185,Belgium,BEL,2021-03-01,46.63,2021-03-01,1,3,2021
186,Belgium,BEL,2021-04-01,57.04,2021-04-01,1,4,2021
187,Belgium,BEL,2021-05-01,55.61,2021-05-01,1,5,2021
188,Belgium,BEL,2021-06-01,74.49,2021-06-01,1,6,2021
189,Belgium,BEL,2021-07-01,77.37,2021-07-01,1,7,2021
190,Belgium,BEL,2021-08-01,79.55,2021-08-01,1,8,2021
191,Belgium,BEL,2021-09-01,136.15,2021-09-01,1,9,2021
192,Belgium,BEL,2021-10-01,165.37,2021-10-01,1,10,2021
193,Belgium,BEL,2021-11-01,202.17,2021-11-01,1,11,2021
194,Belgium,BEL,2021-12-01,245.43,2021-12-01,1,12,2021
195,Belgium,BEL,2022-01-01,191.56,2022-01-01,1,1,2022
196,Belgium,BEL,2022-02-01,162.64,2022-02-01,1,2,2022
197,Belgium,BEL,2022-03-01,265.51,2022-03-01,1,3,2022
198,Belgium,BEL,2022-04-01,186.72,2022-04-01,1,4,2022
199,Belgium,BEL,2022-05-01,176.67,2022-05-01,1,5,2022
200,Belgium,BEL,2022-06-01,219.29,2022-06-01,1,6,2022
201,Belgium,BEL,2022-07-01,321.55,2022-07-01,1,7,2022
202,Belgium,BEL,2022-08-01,448.12,2022-08-01,1,8,2022
203,Belgium,BEL,2022-09-01,345.73,2022-09-01,1,9,2022
204,Belgium,BEL,2022-10-01,157.51,2022-10-01,1,10,2022
205,Belgium,BEL,2022-11-01,180.7,2022-11-01,1,11,2022
206,Belgium,BEL,2022-12-01,268.88,2022-12-01,1,12,2022
207,Belgium,BEL,2023-01-01,130.87,2023-01-01,1,1,2023
208,Belgium,BEL,2023-02-01,143.51,2023-02-01,1,2,2023
209,Belgium,BEL,2023-03-01,109.48,2023-03-01,1,3,2023
210,Belgium,BEL,2023-04-01,105.62,2023-04-01,1,4,2023
211,Belgium,BEL,2023-05-01,80.11,2023-05-01,1,5,2023
212,Belgium,BEL,2023-06-01,93.17,2023-06-01,1,6,2023
213,Belgium,BEL,2023-07-01,75.29,2023-07-01,1,7,2023
214,Belgium,BEL,2023-08-01,92.05,2023-08-01,1,8,2023
215,Belgium,BEL,2023-09-01,94.35,2023-09-01,1,9,2023
216,Belgium,BEL,2023-10-01,86.34,2023-10-01,1,10,2023
217,Belgium,BEL,2023-11-01,91.53,2023-11-01,1,11,2023
218,Belgium,BEL,2023-12-01,69.26,2023-12-01,1,12,2023
219,Belgium,BEL,2024-01-01,78.63,2024-01-01,1,1,2024
220,Belgium,BEL,2024-02-01,61.53,2024-02-01,1,2,2024
221,Belgium,BEL,2024-03-01,61.13,2024-03-01,1,3,2024
222,Bulgaria,BGR,2016-10-01,64.09,2016-10-01,1,10,2016
223,Bulgaria,BGR,2016-11-01,38.02,2016-11-01,1,11,2016
224,Bulgaria,BGR,2016-12-01,43.92,2016-12-01,1,12,2016
225,Bulgaria,BGR,2017-01-01,54.41,2017-01-01,1,1,2017
226,Bulgaria,BGR,2017-02-01,43.28,2017-02-01,1,2,2017
227,Bulgaria,BGR,2017-03-01,31.85,2017-03-01,1,3,2017
228,Bulgaria,BGR,2017-04-01,34.93,2017-04-01,1,4,2017
229,Bulgaria,BGR,2017-05-01,36.26,2017-05-01,1,5,2017
230,Bulgaria,BGR,2017-06-01,34.92,2017-06-01,1,6,2017
231,Bulgaria,BGR,2017-07-01,42.16,2017-07-01,1,7,2017
232,Bulgaria,BGR,2017-08-01,38.42,2017-08-01,1,8,2017
233,Bulgaria,BGR,2017-09-01,37.79,2017-09-01,1,9,2017
234,Bulgaria,BGR,2017-10-01,41.57,2017-10-01,1,10,2017
235,Bulgaria,BGR,2017-11-01,42.13,2017-11-01,1,11,2017
236,Bulgaria,BGR,2017-12-01,38.35,2017-12-01,1,12,2017
237,Bulgaria,BGR,2018-01-01,37.3,2018-01-01,1,1,2018
238,Bulgaria,BGR,2018-02-01,36.49,2018-02-01,1,2,2018
239,Bulgaria,BGR,2018-03-01,27.51,2018-03-01,1,3,2018
